date,wp
2011-04-07 16:00:00,0.0
2011-03-14 05:00:00,0.015
2010-01-30 21:00:00,0.168
2010-01-31 19:00:00,0.682
2010-04-11 10:00:00,0.051
2012-05-28 08:00:00,0.259
2012-04-02 16:00:00,0.044
2010-03-17 09:00:00,0.0
2010-11-10 02:00:00,0.066
2009-09-27 13:00:00,0.541
2011-04-18 21:00:00,0.099
2009-08-29 01:00:00,0.456
2010-04-27 09:00:00,0.84
2009-08-16 03:00:00,0.152
2012-06-09 00:00:00,0.287
2011-08-22 22:00:00,0.233
2010-02-26 08:00:00,0.73
2010-10-29 00:00:00,0.534
2012-02-03 19:00:00,0.142
2010-10-21 21:00:00,0.19
